VTX, IDX, inPos.x, inPos.y, inPos.z, inNorm.x, inNorm.y, inNorm.z, inUv.x, inUv.y
0, 0, -1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.875, 0.50
1, 1, 1.00, -1.00, 1.00, 0.00, 0.00, 1.00, 0.625, 0.25
2, 2, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.625, 0.50
3, 3, 1.00, -1.00, 1.00, 0.00, -1.00, 0.00, 0.625, 0.25
4, 4, -1.00, -1.00, -1.00, 0.00, -1.00, 0.00, 0.375, 0.00
5, 5, 1.00, -1.00, -1.00, 0.00, -1.00, 0.00, 0.375, 0.25
6, 6, -1.00, -1.00, 1.00, -1.00, 0.00, 0.00, 0.625, 1.00
7, 7, -1.00, 1.00, -1.00, -1.00, 0.00, 0.00, 0.375, 0.75
8, 8, -1.00, -1.00, -1.00, -1.00, 0.00, 0.00, 0.375, 1.00
9, 9, 1.00, 1.00, -1.00, 0.00, 0.00, -1.00, 0.375, 0.50
10, 10, -1.00, -1.00, -1.00, 0.00, 0.00, -1.00, 0.125, 0.25
11, 11, -1.00, 1.00, -1.00, 0.00, 0.00, -1.00, 0.125, 0.50
12, 12, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.625, 0.50
13, 13, 1.00, -1.00, -1.00, 1.00, 0.00, 0.00, 0.375, 0.25
14, 14, 1.00, 1.00, -1.00, 1.00, 0.00, 0.00, 0.375, 0.50
15, 15, -1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.625, 0.75
16, 16, 1.00, 1.00, -1.00, 0.00, 1.00, 0.00, 0.375, 0.50
17, 17, -1.00, 1.00, -1.00, 0.00, 1.00, 0.00, 0.375, 0.75
18, 18, -1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.875, 0.50
19, 19, -1.00, -1.00, 1.00, 0.00, 0.00, 1.00, 0.875, 0.25
20, 20, 1.00, -1.00, 1.00, 0.00, 0.00, 1.00, 0.625, 0.25
21, 21, 1.00, -1.00, 1.00, 0.00, -1.00, 0.00, 0.625, 0.25
22, 22, -1.00, -1.00, 1.00, 0.00, -1.00, 0.00, 0.625, 0.00
23, 23, -1.00, -1.00, -1.00, 0.00, -1.00, 0.00, 0.375, 0.00
24, 24, -1.00, -1.00, 1.00, -1.00, 0.00, 0.00, 0.625, 1.00
25, 25, -1.00, 1.00, 1.00, -1.00, 0.00, 0.00, 0.625, 0.75
26, 26, -1.00, 1.00, -1.00, -1.00, 0.00, 0.00, 0.375, 0.75
27, 27, 1.00, 1.00, -1.00, 0.00, 0.00, -1.00, 0.375, 0.50
28, 28, 1.00, -1.00, -1.00, 0.00, 0.00, -1.00, 0.375, 0.25
29, 29, -1.00, -1.00, -1.00, 0.00, 0.00, -1.00, 0.125, 0.25
30, 30, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.625, 0.50
31, 31, 1.00, -1.00, 1.00, 1.00, 0.00, 0.00, 0.625, 0.25
32, 32, 1.00, -1.00, -1.00, 1.00, 0.00, 0.00, 0.375, 0.25
33, 33, -1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.625, 0.75
34, 34, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.625, 0.50
35, 35, 1.00, 1.00, -1.00, 0.00, 1.00, 0.00, 0.375, 0.50
