VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, pos.x, pos.y, pos.z, pos.w, norm.x, norm.y, norm.z, uv.x, uv.y
0, 0, -6.34413E-30, 0.00, -1.88030E-27, 9.89682E-30, -6.34413E-30, 0.00, -1.88030E-27, 9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
1, 1, -6.34417E-30, 0.00, -5.64089E-27, 2.96904E-29, -6.34417E-30, 0.00, -5.64089E-27, 2.96904E-29, 1.00, 1.00, 1.00, 0.75, 0.50
2, 2, -1.26883E-29, 0.00, -5.64089E-27, 2.96904E-29, -1.26883E-29, 0.00, -5.64089E-27, 2.96904E-29, 1.00, 1.00, 1.00, 0.75, 0.50
3, 3, -6.34417E-30, 0.00, -5.64089E-27, 2.96904E-29, -6.34417E-30, 0.00, -5.64089E-27, 2.96904E-29, 1.00, 1.00, 1.00, 0.75, 0.50
4, 4, 6.34413E-30, 0.00, 1.88030E-27, -9.89682E-30, 6.34413E-30, 0.00, 1.88030E-27, -9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
5, 5, -1.88392E-35, 0.00, -1.88030E-27, 9.89682E-30, -1.88392E-35, 0.00, -1.88030E-27, 9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
6, 6, -1.88392E-35, 0.00, -1.88030E-27, 9.89682E-30, -1.88392E-35, 0.00, -1.88030E-27, 9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
7, 7, 1.88392E-35, 0.00, 1.88030E-27, -9.89682E-30, 1.88392E-35, 0.00, 1.88030E-27, -9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
8, 8, 6.34413E-30, 0.00, 1.88030E-27, -9.89682E-30, 6.34413E-30, 0.00, 1.88030E-27, -9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
9, 9, -6.34413E-30, 0.00, -1.88030E-27, 9.89682E-30, -6.34413E-30, 0.00, -1.88030E-27, 9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
10, 10, 6.34413E-30, 0.00, 1.88030E-27, -9.89682E-30, 6.34413E-30, 0.00, 1.88030E-27, -9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
11, 11, 1.88392E-35, 0.00, 1.88030E-27, -9.89682E-30, 1.88392E-35, 0.00, 1.88030E-27, -9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
12, 12, -1.26883E-29, 0.00, -5.64089E-27, 2.96904E-29, -1.26883E-29, 0.00, -5.64089E-27, 2.96904E-29, 1.00, 1.00, 1.00, 0.75, 0.50
13, 13, -1.88392E-35, 0.00, -1.88030E-27, 9.89682E-30, -1.88392E-35, 0.00, -1.88030E-27, 9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
14, 14, -6.34413E-30, 0.00, -1.88030E-27, 9.89682E-30, -6.34413E-30, 0.00, -1.88030E-27, 9.89682E-30, 1.00, 1.00, 1.00, 0.75, 0.50
